id	description	boundary
1H	Hammarland	POLYGON((94750 6715560,96320 6714120,97660 6713370,98600 6712830,99630 6712180,100900 6711000,101440 6710530,101930 6710340,102610 6709760,103170 6709220,103370 6708950,103430 6708870,103500 6708470,103450 6708140,103200 6707810,102920 6707580,102710 6707110,101990 6705180,101360 6702790,101270 6702520,101080 6701900,100820 6701480,100680 6700890,100400 6700210,99880 6699740,99190 6699540,98930 6699500,98650 6699400,98300 6699310,97790 6699310,97460 6699280,96760 6699210,95720 6699260,95400 6699180,95060 6699330,94660 6699710,94490 6700130,94470 6700400,94360 6700830,94180 6701190,94020 6701610,94080 6702120,94270 6702630,94190 6703000,94100 6703250,94050 6703800,93800 6704220,93120 6705190,92960 6705850,92770 6706490,92670 6707150,92570 6707950,92490 6709120,92630 6711340,92830 6712430,93070 6713100,93740 6714280,94310 6715010,94750 6715560))
1E	Eckerö	POLYGON((92260 6717850,94750 6715560,94310 6715010,93740 6714280,93070 6713100,92830 6712430,92630 6711340,92490 6709120,92570 6707950,92670 6707150,92770 6706490,92960 6705850,93120 6705190,93800 6704220,94050 6703800,94100 6703250,94190 6703000,94270 6702630,94080 6702120,94020 6701610,94180 6701190,94360 6700830,94470 6700400,94490 6700130,94660 6699710,95060 6699330,95400 6699180,95400 6698890,95420 6698370,95420 6697580,95230 6697060,95020 6696450,95070 6695700,95160 6695300,95190 6694530,95190 6694250,95350 6693990,95430 6693810,95400 6693490,95300 6692970,94800 6691820,94300 6690390,94010 6688820,92430 6685420,91980 6682980,86660 6687480,83010 6694940,82720 6703710,83880 6711900,87100 6715840,89880 6717160,92070 6717600,92260 6717850))
2	Geta	POLYGON((113160 6718850,113160 6718520,113080 6717490,112890 6716730,112900 6716390,112760 6715760,112300 6715120,111870 6714680,111600 6714270,111580 6714050,111360 6713390,111090 6712910,110740 6712420,110720 6712050,110640 6711730,110580 6711330,110460 6710800,110430 6710520,110400 6710140,110270 6709770,110360 6709280,110560 6709070,110670 6708740,110490 6708430,110330 6708160,110200 6707900,110370 6707640,110500 6707330,110050 6707030,107570 6705290,106450 6704160,106280 6704060,106080 6704080,105910 6704250,105770 6704670,105630 6705260,105550 6706550,105540 6707340,105440 6707640,105180 6707620,104980 6707670,104990 6707980,105120 6708280,105130 6708430,104770 6708650,104340 6708770,103920 6708910,103370 6708950,103170 6709220,102610 6709760,101930 6710340,101440 6710530,100900 6711000,99630 6712180,98600 6712830,97660 6713370,96320 6714120,94750 6715560,92260 6717850,95140 6721690,100260 6724320,104500 6723880,111510 6720080,113160 6718850))
3	Finström	POLYGON((118500 6714720,118590 6714080,118580 6713330,118360 6712440,118140 6711880,117860 6711480,117360 6711330,117010 6711200,116710 6710810,116430 6710200,116430 6709550,116600 6708860,116690 6708210,116540 6706990,116470 6706320,116330 6705810,116160 6705160,115960 6704570,115350 6703570,115060 6702930,114610 6702150,114280 6701610,114320 6701110,114240 6700650,113980 6700110,113520 6699700,113170 6699400,113090 6699330,112630 6698900,111530 6698420,110860 6698080,110510 6697730,110300 6697390,109930 6696930,109580 6696610,109270 6696670,109150 6697510,108950 6697800,108500 6697930,103760 6697710,102500 6697550,102080 6697550,101960 6697760,101940 6697940,101870 6698460,101800 6698960,101700 6699550,101770 6700180,101770 6700990,101270 6702520,101360 6702790,101990 6705180,102710 6707110,102920 6707580,103200 6707810,103450 6708140,103500 6708470,103430 6708870,103370 6708950,103920 6708910,104340 6708770,104770 6708650,105130 6708430,105120 6708280,104990 6707980,104980 6707670,105180 6707620,105440 6707640,105540 6707340,105550 6706550,105630 6705260,105770 6704670,105910 6704250,106080 6704080,106280 6704060,106450 6704160,107570 6705290,110050 6707030,110500 6707330,111580 6707650,113150 6708230,114310 6708710,114890 6709080,114970 6709290,115060 6709780,115070 6710220,115130 6710430,115290 6710690,115400 6710870,115490 6711050,115550 6711450,115560 6711820,115500 6712120,115270 6712530,115040 6712940,114890 6713270,114860 6713730,114950 6714050,115090 6714470,115460 6715000,115960 6715500,116560 6716090,116630 6716260,116610 6716340,118500 6714720))
4Su	Sund	POLYGON((127300 6707800,128750 6705930,129180 6705080,129370 6703690,129410 6703160,129420 6702550,129200 6701390,128940 6700440,128750 6699910,128200 6699040,127740 6698150,127320 6697540,127170 6697400,126440 6696760,126170 6696620,125890 6696580,125510 6696780,125280 6697020,124890 6697870,124460 6698500,123680 6698920,123170 6699120,122710 6699230,122300 6699240,120970 6699250,120260 6699180,119440 6698940,118840 6698750,118300 6698380,117950 6698030,117330 6697630,117280 6697580,117170 6697470,117120 6697340,117040 6697020,117060 6696870,117160 6696680,117330 6696430,117370 6696150,117260 6695850,117010 6695600,116820 6695080,116450 6694730,116080 6694380,115900 6694110,115850 6693920,115750 6693640,115390 6693160,114960 6692770,114870 6693300,114600 6693840,114340 6694640,113970 6695510,113870 6695960,113730 6696480,113750 6696940,113930 6697270,114000 6697590,114570 6697630,114600 6698150,114700 6698450,114920 6698690,116090 6698840,115720 6699700,116630 6699770,118390 6700900,118790 6700940,119280 6700830,119510 6700760,119600 6701360,120270 6701620,120720 6701780,121320 6702110,121650 6702430,122340 6702900,122760 6703130,122880 6703220,123230 6703010,123480 6703270,123460 6703620,123570 6704010,123850 6704340,124180 6704640,124410 6704990,124830 6705480,125830 6706530,127300 6707800))
4Sa	Saltvik	POLYGON((113170 6699400,113520 6699700,113980 6700110,114240 6700650,114320 6701110,114280 6701610,114610 6702150,115060 6702930,115350 6703570,115960 6704570,116160 6705160,116330 6705810,116470 6706320,116540 6706990,116690 6708210,116600 6708860,116430 6709550,116430 6710200,116710 6710810,117010 6711200,117360 6711330,117860 6711480,118140 6711880,118360 6712440,118580 6713330,118590 6714080,118500 6714720,118550 6714670,120160 6713130,122820 6711940,125370 6712150,125400 6711990,125890 6709860,127250 6707860,127300 6707800,125830 6706530,124830 6705480,124410 6704990,124180 6704640,123850 6704340,123570 6704010,123460 6703620,123480 6703270,123230 6703010,122880 6703220,122760 6703130,122340 6702900,121650 6702430,121320 6702110,120720 6701780,120270 6701620,119600 6701360,119510 6700760,119280 6700830,118790 6700940,118390 6700900,116630 6699770,115720 6699700,116090 6698840,114920 6698690,114700 6698450,114600 6698150,114570 6697630,114000 6697590,114040 6697800,113770 6698460,113420 6698980,113170 6699400))
5S	Sund	POLYGON((123930 6689740,123360 6689670,122660 6689520,119160 6688830,119140 6688820,117200 6688940,116560 6689370,116170 6689820,115650 6690440,115160 6691630,114990 6692580,114960 6692770,115390 6693160,115750 6693640,115850 6693920,115900 6694110,116080 6694380,116450 6694730,116820 6695080,117010 6695600,117260 6695850,117370 6696150,117330 6696430,117160 6696680,117060 6696870,117040 6697020,117120 6697340,117170 6697470,117280 6697580,117330 6697630,117950 6698030,118300 6698380,118840 6698750,119440 6698940,120260 6699180,120970 6699250,122300 6699240,122710 6699230,123170 6699120,123680 6698920,124460 6698500,124890 6697870,125280 6697020,125510 6696780,125890 6696580,126170 6696620,126440 6696760,127170 6697400,127760 6697070,128330 6696600,128590 6695920,128590 6695300,128330 6694620,127860 6693680,127390 6693100,126530 6692110,125720 6691430,124960 6690410,123930 6689740))
5V	Vårdö	POLYGON((139740 6707030,140270 6704360,140000 6701010,138930 6696730,137470 6693060,135840 6692200,135150 6691510,133850 6690860,132910 6690560,132270 6690360,131580 6690120,130970 6689770,130280 6689490,128980 6688950,128350 6689040,127360 6689520,126170 6689610,124930 6689850,123930 6689740,124960 6690410,125720 6691430,126530 6692110,127390 6693100,127860 6693680,128330 6694620,128590 6695300,128590 6695920,128330 6696600,127760 6697070,127170 6697400,127320 6697540,127740 6698150,128200 6699040,128750 6699910,128940 6700440,129200 6701390,129420 6702550,129410 6703160,129370 6703690,129180 6705080,128750 6705930,127300 6707800,127250 6707860,125890 6709860,125400 6711990,125370 6712150,127160 6712290,130800 6712010,132900 6710960,135560 6710050,138160 6708580,139700 6707110,139740 6707030))
6	Hammarland	POLYGON((101270 6702520,101770 6700990,101770 6700180,101700 6699550,101800 6698960,101870 6698460,101940 6697940,101960 6697760,102080 6697550,102500 6697550,103760 6697710,108500 6697930,108950 6697800,109150 6697510,109270 6696670,108960 6696350,108730 6696030,108590 6695710,108500 6695180,108400 6694780,108380 6694540,108360 6694120,108150 6692980,107970 6692550,107510 6692420,107040 6692340,106240 6692180,105930 6691800,105930 6691480,106060 6690860,106260 6690160,106410 6688880,106530 6687860,106260 6685970,106010 6685580,105570 6685110,105280 6685000,104820 6684880,104600 6684540,104400 6683820,104470 6683490,104670 6681760,104600 6681340,104200 6680320,103690 6679700,102450 6678810,101000 6677710,99840 6674150,96900 6677980,92360 6682660,91980 6682980,92430 6685420,94010 6688820,94300 6690390,94800 6691820,95300 6692970,95400 6693490,95430 6693810,95350 6693990,95190 6694250,95190 6694530,95160 6695300,95070 6695700,95020 6696450,95230 6697060,95420 6697580,95420 6698370,95400 6698890,95400 6699180,95720 6699260,96760 6699210,97460 6699280,97790 6699310,98300 6699310,98650 6699400,98930 6699500,99190 6699540,99880 6699740,100400 6700210,100680 6700890,100820 6701480,101080 6701900,101270 6702520))
7	Jomala	POLYGON((115220 6684420,114720 6684200,114220 6683920,113950 6683740,113830 6683270,113720 6682950,113470 6682740,113180 6682610,112760 6682640,112310 6682740,111450 6682700,111280 6682550,111130 6682200,111040 6681920,110930 6681810,110740 6681810,110520 6682000,110370 6682110,110150 6682110,109950 6681970,109740 6681810,109350 6681280,109230 6680800,109230 6680160,109520 6679420,109700 6679050,110460 6677990,111380 6676880,111810 6676190,112350 6675220,112930 6674050,113230 6673380,113230 6673110,113070 6671510,112240 6668960,110970 6665190,108150 6665260,103040 6668630,100260 6673600,99840 6674150,101000 6677710,102450 6678810,103690 6679700,104200 6680320,104600 6681340,104670 6681760,104470 6683490,104400 6683820,104600 6684540,104820 6684880,105280 6685000,105570 6685110,106010 6685580,106260 6685970,106530 6687860,106410 6688880,106260 6690160,106060 6690860,105930 6691480,105930 6691800,106240 6692180,107040 6692340,107510 6692420,107970 6692550,108150 6692980,108360 6694120,108380 6694540,108400 6694780,108500 6695180,108590 6695710,108730 6696030,108960 6696350,109270 6696670,109580 6696610,109930 6696930,110300 6697390,110510 6697730,110860 6698080,111530 6698420,112630 6698900,113090 6699330,113170 6699400,113420 6698980,113770 6698460,114040 6697800,114000 6697590,113930 6697270,113750 6696940,113730 6696480,113870 6695960,113970 6695510,114340 6694640,114600 6693840,114870 6693300,114960 6692770,114990 6692580,115160 6691630,115650 6690440,116170 6689820,116170 6688940,116050 6687740,115610 6685210,115220 6684420))
8Lu	Lumparland	POLYGON((124830 6674710,124470 6675460,124080 6676470,123840 6677690,123620 6678620,123490 6678870,123390 6679070,123430 6679200,123480 6679330,123490 6679510,123460 6679590,123470 6679740,123440 6679840,123410 6679970,123410 6680090,123340 6680240,123240 6680520,123110 6680730,122990 6680930,122830 6681010,122630 6681080,122540 6681070,122500 6681070,122460 6681030,122420 6681010,122310 6680960,121920 6680910,121550 6681010,121370 6681240,120560 6682720,120030 6684650,119390 6687300,119160 6688830,122660 6689520,123360 6689670,123930 6689740,124930 6689850,126170 6689610,127360 6689520,128350 6689040,128980 6688950,130280 6689490,130970 6689770,131580 6690120,132270 6690360,132910 6690560,132420 6688490,131860 6686160,131020 6683930,129520 6681270,128870 6679260,127430 6677350,126120 6675860,124830 6674710))
8Le	Lemland	POLYGON((127230 6673130,126390 6672150,120600 6664740,114150 6665120,110970 6665190,112240 6668960,113070 6671510,113230 6673110,113230 6673380,112930 6674050,112350 6675220,111810 6676190,111380 6676880,110460 6677990,109700 6679050,109520 6679420,109230 6680160,109230 6680800,109350 6681280,109740 6681810,109950 6681970,110150 6682110,110370 6682110,110520 6682000,110740 6681810,110930 6681810,111040 6681920,111130 6682200,111280 6682550,111450 6682700,112310 6682740,112760 6682640,113180 6682610,113470 6682740,113720 6682950,113830 6683270,113950 6683740,114220 6683920,114720 6684200,115220 6684420,115610 6685210,116050 6687740,116170 6688940,116170 6689820,116560 6689370,117200 6688940,119140 6688820,119160 6688830,119390 6687300,120030 6684650,120560 6682720,121370 6681240,121550 6681010,121920 6680910,122310 6680960,122420 6681010,122460 6681030,122500 6681070,122540 6681070,122630 6681080,122830 6681010,122990 6680930,123110 6680730,123240 6680520,123340 6680240,123410 6680090,123410 6679970,123440 6679840,123470 6679740,123460 6679590,123490 6679510,123480 6679330,123430 6679200,123390 6679070,123490 6678870,123620 6678620,123840 6677690,124080 6676470,124470 6675460,124830 6674710,125110 6674140,125670 6673480,126770 6673140,127230 6673130))
9	Föglö	POLYGON((120600 6664740,126390 6672150,127230 6673130,129840 6676180,133290 6679260,137850 6682240,144960 6683010,146640 6678490,147040 6674470,147040 6670670,144840 6667160,140750 6664530,136220 6662780,127890 6663220,124380 6663950,120600 6664740))
10E	Enklinge	POLYGON((162660 6696590,159080 6699090,156750 6701370,154420 6702250,152170 6703410,155210 6709710,155960 6714480,156060 6716680,157940 6715060,159680 6710380,159940 6704760,162090 6700340,162660 6696590))
10S	Seglinge	POLYGON((153460 6682780,151400 6684550,149020 6686840,147060 6686840,148010 6692230,149840 6698580,152480 6691870,154740 6688600,156160 6686400,155150 6685230,153460 6682780))
10K	Kumlinge	POLYGON((156160 6686400,154740 6688600,152480 6691870,149840 6698580,152170 6703410,154420 6702250,156750 6701370,159080 6699090,162660 6696590,162310 6695190,160920 6692570,157860 6688380,156160 6686400))
11	Tjudö	POLYGON((110500 6707330,110370 6707640,110200 6707900,110330 6708160,110490 6708430,110670 6708740,110560 6709070,110360 6709280,110270 6709770,110400 6710140,110430 6710520,110460 6710800,110580 6711330,110640 6711730,110720 6712050,110740 6712420,111090 6712910,111360 6713390,111580 6714050,111600 6714270,111870 6714680,112300 6715120,112760 6715760,112900 6716390,112890 6716730,113080 6717490,113160 6718520,113160 6718850,116100 6716770,116610 6716340,116630 6716260,116560 6716090,115960 6715500,115460 6715000,115090 6714470,114950 6714050,114860 6713730,114890 6713270,115040 6712940,115270 6712530,115500 6712120,115560 6711820,115550 6711450,115490 6711050,115400 6710870,115290 6710690,115130 6710430,115070 6710220,115060 6709780,114970 6709290,114890 6709080,114310 6708710,113150 6708230,111580 6707650,110500 6707330))
12	Husö	POLYGON((153550 6676160,154200 6676690,154920 6676720,156360 6676420,156650 6675700,156600 6675280,156460 6674950,156120 6674770,155690 6674580,155400 6674390,154860 6674530,154330 6674980,154250 6675540,153550 6676160))
13	Sottunga	POLYGON((146640 6678490,144960 6683010,146200 6685690,147060 6686840,149020 6686840,151400 6684550,153460 6682780,152480 6681010,150820 6679610,149020 6678960,146640 6678490))
14	Kökar	POLYGON((157540 6658130,156970 6659620,157420 6661040,158580 6661800,160540 6663040,162940 6663130,165490 6661770,165690 6660470,164840 6658620,164120 6657500,162420 6658260,161500 6657750,160480 6657680,159880 6656110,158960 6656020,157540 6658130))
15	Brändö	POLYGON((171970 6694360,168430 6697490,164450 6700150,162200 6703840,160590 6712190,164590 6722260,170170 6722040,175590 6713120,175450 6710330,174750 6703810,171970 6694360))
